"ID","NLuc","CLuc","CLuc_Sample","p_shapiro","p_levene","Letters","mean","sd"
80,"AtMLO9","AtEXO70H7","J",0.561196724384008,0.149006244735678,"b",0.344166666666667,0.416287073467616
81,"HvMlo","AtEXO70A1","A",0.401842350096124,0.0205029496623847,"a",0.0616666666666667,0.134509306827403
82,"HvMlo","AtEXO70G1","B",0.459685530559394,0.0205029496623847,"a",0.117083333333333,0.162091739098752
83,"HvMlo","AtEXO70B2","C",0.346949922470194,0.0205029496623847,"ab",0.331666666666667,0.383186487311297
84,"HvMlo","AtEXO70D2","D",0.159359043875817,0.0205029496623847,"bc",0.53695652173913,0.450458703410491
85,"HvMlo","AtEXO70D3","E",0.0123251375895332,0.0205029496623847,"a",0.110833333333333,0.205974178767244
86,"HvMlo","AtEXO70E2","F",0.0803146045740187,0.0205029496623847,"a",0.01625,0.0244615936769743
87,"HvMlo","AtEXO70H1","G",0.493421614688727,0.0205029496623847,"c",0.681052631578947,0.527266480558425
88,"HvMlo","AtEXO70H2","H",0.0557987215715279,0.0205029496623847,"ab",0.232083333333333,0.214739056342438
89,"HvMlo","AtEXO70H4","I",0.00145964825221069,0.0205029496623847,"bc",0.552083333333333,0.44137117542127
90,"HvMlo","AtEXO70H7","J",0.342981520299204,0.0205029496623847,"ab",0.340833333333333,0.385745091170735
