ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1691,AtMLO1,AtEXO70D2,0.67,1,3,65865.79,76.66,859.16,1051.86,0.67,AtMLO1-AtCAM2,B,D,0.84
1692,AtMLO1,AtEXO70D2,0.04,2,1,4383.1,34.57,126.8,123.04,0.04,AtMLO1-AtCAM2,B,D,0.84
1693,AtMLO1,AtEXO70D2,0.21,2,2,68754.43,73.38,936.99,1218.79,0.21,AtMLO1-AtCAM2,B,D,0.84
1694,AtMLO1,AtEXO70D2,0.07,2,3,10421.25,49.12,212.16,236.29,0.07,AtMLO1-AtCAM2,B,D,0.84
1695,AtMLO1,AtEXO70D2,0.39,3,1,240263.43,58.03,4140.26,4176.71,0.39,AtMLO1-AtCAM2,B,D,0.84
1696,AtMLO1,AtEXO70D2,0.15,3,2,219021.11,98.32,2227.7,2308.05,0.15,AtMLO1-AtCAM2,B,D,0.84
1697,AtMLO1,AtEXO70D2,0.04,3,3,25188.57,58.03,434.05,555.72,0.04,AtMLO1-AtCAM2,B,D,0.84
1698,AtMLO1,AtEXO70D2,0.07,3,4,26106.5,58.03,449.87,992.78,0.07,AtMLO1-AtCAM2,B,D,0.84
1699,AtMLO1,AtEXO70D2,0.05,4,1,78411.75,35.07,2235.55,1947.82,0.05,AtMLO1-AtCAM2,B,D,0.84
1700,AtMLO1,AtEXO70D2,0.84,4,2,264419.11,88.77,2978.7,3005.97,0.84,AtMLO1-AtCAM2,B,D,0.84
1701,AtMLO1,AtEXO70D2,0.04,4,3,48910.93,52.4,933.49,1237.01,0.04,AtMLO1-AtCAM2,B,D,0.84
1702,AtMLO1,AtEXO70D2,0.1,4,4,42660.64,52.4,814.2,955.8,0.1,AtMLO1-AtCAM2,B,D,0.84
1703,AtMLO1,AtEXO70D2,0.01,5,1,6083.75,35.07,173.45,247.61,0.01,AtMLO1-AtCAM2,B,D,0.84
1704,AtMLO1,AtEXO70D2,0.07,5,2,102369.5,88.77,1153.2,1099.39,0.07,AtMLO1-AtCAM2,B,D,0.84
1705,AtMLO1,AtEXO70D2,0.08,5,3,25008.5,35.07,713,874.91,0.08,AtMLO1-AtCAM2,B,D,0.84
1706,AtMLO1,AtEXO70D2,0.11,5,4,1211.3,24.68,49.08,366.46,0.11,AtMLO1-AtCAM2,B,D,0.84
1707,AtMLO1,AtEXO70D2,0.2,6,1,151703.94,79.71,1903.19,2367.86,0.2,AtMLO1-AtCAM2,B,D,0.84
1708,AtMLO1,AtEXO70D2,0.2,6,2,169357.64,47.05,3599.64,3787.64,0.2,AtMLO1-AtCAM2,B,D,0.84
1709,AtMLO1,AtEXO70D2,0.05,6,3,1884.7,22.16,85.04,436.65,0.05,AtMLO1-AtCAM2,B,D,0.84
1710,AtMLO1,AtEXO70D2,0.04,6,4,58221.57,47.05,1237.48,1178.59,0.04,AtMLO1-AtCAM2,B,D,0.84
1711,AtMLO1,AtEXO70D3,0.13,1,1,5662.57,76.66,73.86,425.55,0.13,AtMLO1-AtCAM2,B,E,0.13
