ID,NLuc,CLuc_Sample,Experiment,mean,sd
272,AtMLO4,F,2,0.10250000000000001,0.03774917217635375
273,AtMLO4,F,3,0.145,0.23130067012440755
274,AtMLO4,F,4,0.0575,0.0655108133567785
275,AtMLO4,F,5,0.049999999999999996,0.05291502622129181
276,AtMLO4,F,6,0.0625,0.0984462628374824
277,AtMLO4,G,1,0.065,0.04509249752822895
278,AtMLO4,G,2,0.3775,0.3976074278313556
279,AtMLO4,G,3,0.0875,0.097082439194738
280,AtMLO4,G,4,0.0925,0.0899536917900909
281,AtMLO4,G,5,0.027500000000000004,0.03403429642777023
282,AtMLO4,G,6,0.055,0.09110433579144299
283,AtMLO4,H,1,0.0375,0.04272001872658766
284,AtMLO4,H,2,0.0425,0.038622100754188225
285,AtMLO4,H,3,0.07250000000000001,0.1053169818531972
286,AtMLO4,H,4,0.0625,0.05500000000000001
287,AtMLO4,H,5,0.0575,0.017078251276599333
288,AtMLO4,H,6,0.065,0.10503967504392488
289,AtMLO4,I,1,0.05,0.0439696865275764
290,AtMLO4,I,2,0.1875,0.13149778198382917
291,AtMLO4,I,3,0.3275,0.5154528753112807
292,AtMLO4,I,4,0.09,0.0752772652709081
293,AtMLO4,I,5,0.35250000000000004,0.26411802917130317
294,AtMLO4,I,6,0.1275,0.1322560647632715
295,AtMLO4,J,1,0.165,0.16299284237863534
296,AtMLO4,J,2,0.10500000000000001,0.07852812659593165
297,AtMLO4,J,3,0.07,0.06055300708194984
298,AtMLO4,J,4,0.06,0.08717797887081347
299,AtMLO4,J,5,0.09,0.08831760866327847
300,AtMLO4,J,6,0.055,0.04725815626252608
301,AtMLO6,A,1,0.0825,0.10372238588334408
302,AtMLO6,A,2,0.31,0.3948839491968917
303,AtMLO6,A,3,0.12000000000000001,0.12247448713915891
304,AtMLO6,A,4,0.09,0.15853495934125486
305,AtMLO6,A,5,0.23,0.3477067730142742
306,AtMLO6,A,6,0.14250000000000002,0.11701139545645402
307,AtMLO6,B,1,0.085,0.056862407030773277
308,AtMLO6,B,2,0.5333333333333333,0.41186567389542594
309,AtMLO6,B,3,0.0275,0.04856267428111156
310,AtMLO6,B,4,0.395,0.09469248474227861
311,AtMLO6,B,5,0.525,0.5253887449625594
312,AtMLO6,B,6,0.3875,0.5343142021944267
313,AtMLO6,C,1,0.0825,0.10719919153924
314,AtMLO6,C,2,0.2425,0.21313141485947115
315,AtMLO6,C,3,0.075,0.04203173404306164
316,AtMLO6,C,4,0.18,0.17224014243685085
317,AtMLO6,C,5,0.17666666666666667,0.18903262505010435
318,AtMLO6,C,6,0.135,0.10723805294763607
319,AtMLO6,D,1,0.105,0.08660254037844387
320,AtMLO6,D,2,0.6625,0.8437762341600605
321,AtMLO6,D,3,0.1,0.12569805089976535
322,AtMLO6,D,4,0.6625,0.6144035047643094
323,AtMLO6,D,5,0.14333333333333334,0.14011899704655803
324,AtMLO6,D,6,0.4425,0.08732124598286493
325,AtMLO6,E,1,0.07250000000000001,0.1053169818531972
326,AtMLO6,E,2,0.5225,0.3030264014900352
327,AtMLO6,E,3,0.11,0.1067707825203131
328,AtMLO6,E,4,0.3125,0.32055940687075984
329,AtMLO6,E,5,0.060000000000000005,0.06557438524302
330,AtMLO6,E,6,0.1875,0.13326039671760448
331,AtMLO6,F,1,0,0
332,AtMLO6,F,2,0.02,0.07702813338860895
333,AtMLO6,F,3,0.1325,0.1532699144211501
334,AtMLO6,F,4,0.185,0.17710637105046975
335,AtMLO6,F,5,0.0875,0.11814539065631521
336,AtMLO6,F,6,0.1475,0.13696106502701172
337,AtMLO6,G,1,0.3675,0.07973915809270456
338,AtMLO6,G,2,0.96,0.25455844122715704
339,AtMLO6,G,3,0.6533333333333333,0.34078341117685484
340,AtMLO6,G,4,0.7466666666666667,0.19553345834749952
341,AtMLO6,G,5,0.6025,0.7747849163907792
343,AtMLO6,H,1,0.275,0.361893170240427
344,AtMLO6,H,2,0.22666666666666668,0.192180470738661
345,AtMLO6,H,3,0.5025,0.3564991818597438
346,AtMLO6,H,4,0.615,0.34722711107669385
347,AtMLO6,H,5,0.345,0.11120551545074851
348,AtMLO6,H,6,0.86,0.6222539674441618
349,AtMLO6,I,1,0.1925,0.10996211468804457
350,AtMLO6,I,2,0.21333333333333332,0.21548395145191981
351,AtMLO6,I,3,0.3,0.1283225103661344
352,AtMLO6,I,4,1,0.2748332827976505
353,AtMLO6,I,5,0.76,0.719027120489902
354,AtMLO6,I,6,0.5,0.5011985634456667
355,AtMLO6,J,1,0.2,0.0725718035235908
356,AtMLO6,J,2,0.7366666666666667,0.15821925715074428
357,AtMLO6,J,3,0.98,0.6962758074211683
358,AtMLO6,J,4,0.8,0.3356585566713095
