NLuc,CLuc,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample
AtMLO2,AtEXO70B1,4,4,-2460.25,44.18,-55.69,-0.47,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,4,4,37509.14,65.99,568.39,623.60,0.25,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,4,4,15345.36,65.99,232.53,287.75,0.12,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,4,4,27341.00,111.81,244.54,299.76,0.12,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,4,108027.00,44.18,2445.34,2500.55,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,4,1,18044.50,44.52,405.30,216.34,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,4,1,7687.75,44.52,172.68,-16.28,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,4,1,32660.20,31.33,1042.47,853.51,0.05,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,4,1,478815.36,66.51,7199.48,7010.52,0.42,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,4,1,99651.86,66.51,1498.37,1309.41,0.08,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,4,1,138385.50,66.51,2080.77,1891.81,0.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,4,1,105963.75,44.52,2380.07,2191.11,0.13,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,1,758272.75,44.52,17031.73,16842.77,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,4,2,5942.50,44.52,133.48,-0.49,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,4,2,43392.57,66.51,652.45,518.49,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,4,2,6251.25,44.52,140.41,6.45,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,4,2,190424.90,31.33,6078.09,5944.13,0.27,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,4,2,7954.50,44.52,178.67,44.71,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,4,2,46718.29,66.51,702.46,568.50,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,4,2,275048.36,66.51,4135.63,4001.67,0.18,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,2,2008928.56,90.69,22151.28,22017.32,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,4,3,-837.57,66.51,-12.59,-9.39,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,4,3,8086.29,66.51,121.59,124.79,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,4,3,203209.79,66.51,3055.47,3058.67,0.37,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,4,3,882913.21,66.51,13275.50,13278.70,1.63,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,4,3,192120.56,90.69,2118.40,2121.60,0.26,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,4,3,98324.43,66.51,1478.41,1481.61,0.18,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,4,3,248996.86,66.51,3743.92,3747.12,0.46,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,3,543007.93,66.51,8164.68,8167.88,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,4,4,2398.93,66.51,36.07,342.62,0.05,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,4,4,-10412.00,31.33,-332.34,-25.79,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,4,4,79876.50,66.51,1201.02,1507.57,0.21,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,4,4,507909.86,66.51,7636.94,7943.49,1.09,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,4,4,37035.50,31.33,1182.12,1488.67,0.20,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,4,4,164154.06,112.68,1456.85,1763.40,0.24,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,4,4,219279.06,112.68,1946.08,2252.63,0.31,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,4,311862.75,44.52,7004.82,7311.36,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,5,1,3259.25,34.16,95.41,229.19,0.06,AtMLO2-AtCAM2
AtMLO2,MmExoc7,5,1,50010.00,24.04,2080.28,2214.06,0.61,AtMLO2-AtCAM2
AtMLO2,ScExo70,5,1,130113.93,51.03,2549.64,2683.42,0.74,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,5,1,-7707.50,51.03,-151.03,-17.25,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,5,1,152106.13,69.59,2185.76,2319.55,0.64,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,5,1,104220.38,69.59,1497.65,1631.43,0.45,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,5,1,35309.56,69.59,507.40,641.18,0.18,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,1,84365.20,24.04,3509.37,3643.15,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,5,2,10804.43,51.03,211.72,298.76,0.03,AtMLO2-AtCAM2
AtMLO2,MmExoc7,5,2,235247.21,51.03,4609.77,4696.82,0.40,AtMLO2-AtCAM2
AtMLO2,ScExo70,5,2,36387.21,51.03,713.02,800.07,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,5,2,-5410.36,51.03,-106.02,-18.97,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,5,2,124803.43,51.03,2445.58,2532.63,0.22,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,5,2,25400.36,51.03,497.73,584.78,0.05,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,5,2,8420.21,51.03,165.00,252.05,0.02,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,2,121993.50,10.54,11570.10,11657.15,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,5,3,-7502.79,51.03,-147.02,428.82,0.03,AtMLO2-AtCAM2
AtMLO2,MmExoc7,5,3,219273.21,51.03,4296.76,4872.60,0.30,AtMLO2-AtCAM2
AtMLO2,ScExo70,5,3,7329.07,51.03,143.62,719.46,0.04,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,5,3,-31033.50,51.03,-608.12,-32.28,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,5,3,665900.39,86.46,7701.87,8277.70,0.51,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,5,3,226381.50,86.46,2618.35,3194.19,0.20,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,5,3,30133.63,69.59,433.02,1008.86,0.06,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,3,1078852.00,69.59,15503.10,16078.94,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,5,4,30214.93,51.03,592.07,766.80,0.07,AtMLO2-AtCAM2
AtMLO2,MmExoc7,5,4,508833.07,51.03,9970.81,10145.54,0.96,AtMLO2-AtCAM2
AtMLO2,ScExo70,5,4,2966.36,51.03,58.13,232.86,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,5,4,-9811.21,51.03,-192.26,-17.53,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,5,4,141642.50,86.46,1638.25,1812.98,0.17,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,5,4,71272.31,69.59,1024.18,1198.91,0.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,5,4,28073.44,69.59,403.42,578.14,0.05,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,4,724192.00,69.59,10406.63,10581.36,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,5,1,14419.57,49.69,290.21,605.76,0.16,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,5,1,-12012.00,33.26,-361.14,-45.59,-0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,5,1,30662.75,33.26,921.88,1237.43,0.32,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,5,1,370689.38,67.75,5471.11,5786.66,1.51,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,5,1,137031.31,67.75,2022.48,2338.03,0.61,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,5,1,131119.25,33.26,3942.13,4257.68,1.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,5,1,10465.00,33.26,314.63,630.18,0.16,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,1,82513.80,23.41,3525.34,3840.89,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,5,2,-6899.86,49.69,-138.87,-19.43,-0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,5,2,7095.00,49.69,142.80,262.23,0.10,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,5,2,49338.94,67.75,728.21,847.64,0.32,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,5,2,312426.44,84.18,3711.45,3830.88,1.44,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,5,2,41264.88,67.75,609.04,728.48,0.27,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,5,2,6892.71,49.69,138.72,258.16,0.10,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,5,2,138594.75,67.75,2045.56,2165.00,0.81,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,2,171990.94,67.75,2538.46,2657.90,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,5,3,9438.93,49.69,189.97,30.95,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,5,3,7785.50,49.69,156.69,-2.33,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,5,3,35017.43,49.69,704.77,545.75,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,5,3,493626.43,49.69,9934.87,9775.85,1.19,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,5,3,241748.33,84.18,2871.83,2712.81,0.33,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,5,3,253980.38,67.75,3748.57,3589.55,0.44,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,5,3,101695.29,49.69,2046.75,1887.73,0.23,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,3,567594.81,67.75,8377.29,8218.27,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,5,4,-23333.93,49.69,-469.63,-8.71,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,5,4,18838.00,67.75,278.04,738.95,0.12,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,5,4,96508.72,84.18,1146.47,1607.38,0.27,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,5,4,460890.63,67.75,6802.42,7263.33,1.21,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,5,4,56185.93,49.69,1130.81,1591.73,0.26,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,5,4,179101.25,67.75,2643.41,3104.32,0.52,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,5,4,-29056.61,84.18,-345.18,115.74,0.02,AtMLO2-AtCAM2
AtMLO2,AtCAM2,5,4,376841.88,67.75,5561.92,6022.83,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,6,1,3067.70,33.05,92.81,281.33,0.10,AtMLO2-AtCAM2
AtMLO2,MmExoc7,6,1,62137.07,70.16,885.59,1074.11,0.38,AtMLO2-AtCAM2
AtMLO2,ScExo70,6,1,58.50,33.05,1.77,190.29,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,6,1,-9506.00,46.97,-202.39,-13.86,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,6,1,86865.00,46.97,1849.38,2037.90,0.73,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,6,1,67687.71,70.16,964.70,1153.22,0.41,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,6,1,-142.80,33.05,-4.32,184.20,0.07,AtMLO2-AtCAM2
AtMLO2,AtCAM2,6,1,249853.50,95.68,2611.36,2799.88,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,6,2,21591.14,70.16,307.72,313.78,0.10,AtMLO2-AtCAM2
AtMLO2,MmExoc7,6,2,128377.79,70.16,1829.66,1835.72,0.56,AtMLO2-AtCAM2
AtMLO2,ScExo70,6,2,16181.00,46.97,344.50,350.56,0.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,6,2,-1394.00,46.97,-29.68,-23.62,-0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,6,2,152709.93,70.16,2176.44,2182.51,0.67,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,6,2,69099.00,46.97,1471.13,1477.20,0.45,AtMLO2-AtCAM2
